Label,sw,filesin,prodin,siteparamin,soilsin,weathersetupin,cloudin,YearStart,YearEnd,LookupWeatherFolder,LookupClimateTempScenarios,LookupClimatePPTScenarios,LookupShiftedPPTScenarios,LookupShiftedPPTCategory,LookupSnowDensityFromTable,LookupTranspRegionsFromTable,LookupEvapCoeffFromTable,LookupTranspCoeffFromTable_Grass,LookupTranspCoeffFromTable_Shrub,LookupTranspCoeffFromTable_Tree,PotentialNaturalVegetation_CompositionShrubsC3C4_Paruelo1996,PotentialNaturalVegetation_CompositionShrubs_Fraction,PotentialNaturalVegetation_CompositionC3_Fraction,PotentialNaturalVegetation_CompositionC4_Fraction,PotentialNaturalVegetation_CompositionAnnuals_Fraction,AdjMonthlyBioMass_Precipitation,AdjMonthlyBioMass_Temperature,AdjRootProfile,RootProfile_C3,RootProfile_C4,RootProfile_Annuals,RootProfile_Shrubs,Vegetation_TotalBiomass_ScalingFactor,Vegetation_LiveBiomass_ScalingFactor,Vegetation_Litter_ScalingFactor,Vegetation_Biomass_ScalingSeason_AllGrowingORNongrowing,Vegetation_Height_ScalingFactor,PotentialNaturalVegetation_Composition_basedOnReferenceOrScenarioClimate,ClimateScenario_Temp_PerturbationInMeanSeasonalityBothOrNone,ClimateScenario_PPT_PerturbationInMeanSeasonalityBothOrNone,RunoffPercent_fromPondedWater,Imperm_L1,Exclude_ClimateAmbient
UseInformationToCreateSoilWatRuns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
Exp1,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0,,,,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_shrubs,1,,1,All,,Scenario,Both,Both,0,0,0
Exp2,,,,,,,,,,,,,,,,,,,,,,NA,0.5,0.5,0,,,,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_shrubs,1,,1,All,,Scenario,Both,Both,0,0,0
Exp3,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_shrubs,1,,1,All,,Scenario,Both,Both,0,0,0
Exp4,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0,,,,C3_MaxRoot025,C4_MaxRoot025,C3_MaxRoot050,Shrub_MaxRoot025,1,,1,All,,Scenario,Both,Both,0,0,0
Exp5,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0,,,,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_shrubs,0.5,,2,All,,Scenario,Both,Both,0,0,0
Exp6,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0,,,,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_shrubs,0.5,,2,Growing,,Scenario,Both,Both,0,0,0
Exp7,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0,,,,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_shrubs,0.5,,2,Nongrowing,,Scenario,Both,Both,0,0,0
Exp8,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0,,,,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_shrubs,1,,1,All,,Reference,Both,Both,0,0,1
Exp9,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0,,,,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_shrubs,1,,1,All,,Scenario,Mean,Both,0,0,1
Exp10,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0,,,,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_shrubs,1,,1,All,,Scenario,Seasonality,Both,0,0,1
Exp11,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0,,,,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_shrubs,1,,1,All,,Scenario,None,Both,0,0,1
Exp12,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0,,,,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_shrubs,1,,1,All,,Scenario,Both,Mean,0,0,1
Exp13,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0,,,,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_shrubs,1,,1,All,,Scenario,Both,Seasonality,0,0,1
Exp14,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0,,,,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_shrubs,1,,1,All,,Scenario,Both,None,0,0,1
Exp15,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0,,,,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_shrubs,1,,1,All,,Scenario,Both,Both,0.5,0,0
Exp16,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0,,,,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_shrubs,1,,1,All,,Scenario,Both,Both,0,0.5,0
