Label,SoilDepth_cm,depth_L1,depth_L2,depth_L3,depth_L4,depth_L5,depth_L6,depth_L7,depth_L8,depth_L9,depth_L10,depth_L11,depth_L12,depth_L13,depth_L14,depth_L15,depth_L16,depth_L17,depth_L18,depth_L19,depth_L20
AZ_53131,100,5,10,20,30,40,60,80,100,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_04222,100,5,10,20,30,40,60,80,100,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_53150,100,5,10,20,30,40,60,80,100,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID_04127,100,5,10,20,30,40,60,80,100,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NV_53136,100,5,10,20,30,40,60,80,100,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OK_53926,100,5,10,20,30,40,60,80,100,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TX_03054,100,5,10,20,30,40,60,80,100,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TX_Fr3,100,5,10,20,30,40,60,80,100,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ_Fmf,100,5,10,20,30,40,60,80,100,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WY_Gle,100,5,10,20,30,40,60,80,100,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
